well,row,column,plate,media,taxa,day,oo,od620,oo_growth,oo_mass,bacterial_strain,replicate,index,index2
E9,E,9,12,m9,BR1.11,6,0,0.217,NA,NA,NA,B,3,5
G9,G,9,12,m9,blank,6,0,0.198,NA,NA,NA,B,3,5
A11,A,11,12,m9,BR1.7,6,0,0.23,NA,NA,NA,C,3,5
C11,C,11,12,m9,TR087-7.2,6,0,0.208,NA,NA,NA,C,3,5
E11,E,11,12,m9,BR1.11,6,0,0.214,NA,NA,NA,C,3,5
G11,G,11,12,m9,blank,6,0,0.197,NA,NA,NA,C,3,5
A1,A,1,13,keratin,BR1.7,7,1,0.307,0.48,0.035,Staphylococcus,A,4,8
C1,C,1,13,keratin,TR087-7.2,7,1,0.386,0.32,0.031,Myroides,A,4,8
E1,E,1,13,keratin,BR1.11,7,1,0.587,0.04,0.026,Enterobacter,A,4,8
G1,G,1,13,keratin,blank,7,1,0.213,0.72,0.048,blank,A,4,8
A3,A,3,13,keratin,BR1.7,7,1,0.322,0.6,0.033,Staphylococcus,B,4,8
C3,C,3,13,keratin,TR087-7.2,7,1,0.286,0.54,0.087,Myroides,B,4,8
E3,E,3,13,keratin,BR1.11,7,1,0.529,0.05,0.021,Enterobacter,B,4,8
G3,G,3,13,keratin,blank,7,1,0.226,0.73,0.051,blank,B,4,8
A5,A,5,13,keratin,BR1.7,7,1,0.263,0.47,0.031,Staphylococcus,C,4,8
C5,C,5,13,keratin,TR087-7.2,7,1,0.265,0.65,0.036,Myroides,C,4,8
E5,E,5,13,keratin,BR1.11,7,1,0.506,0.04,0.031,Enterobacter,C,4,8
G5,G,5,13,keratin,blank,7,1,0.231,0.69,0.038,blank,C,4,8
A7,A,7,13,keratin,BR1.7,7,0,0.308,NA,NA,NA,A,4,7
C7,C,7,13,keratin,TR087-7.2,7,0,0.28,NA,NA,NA,A,4,7
E7,E,7,13,keratin,BR1.11,7,0,0.452,NA,NA,NA,A,4,7
G7,G,7,13,keratin,blank,7,0,0.231,NA,NA,NA,A,4,7
A9,A,9,13,keratin,BR1.7,7,0,0.246,NA,NA,NA,B,4,7
C9,C,9,13,keratin,TR087-7.2,7,0,0.302,NA,NA,NA,B,4,7
E9,E,9,13,keratin,BR1.11,7,0,0.459,NA,NA,NA,B,4,7
G9,G,9,13,keratin,blank,7,0,0.228,NA,NA,NA,B,4,7
A11,A,11,13,keratin,BR1.7,7,0,0.256,NA,NA,NA,C,4,7
C11,C,11,13,keratin,TR087-7.2,7,0,0.326,NA,NA,NA,C,4,7
E11,E,11,13,keratin,BR1.11,7,0,0.491,NA,NA,NA,C,4,7
G11,G,11,13,keratin,blank,7,0,0.212,NA,NA,NA,C,4,7
A1,A,1,14,m9,BR1.7,7,1,0.19,0.64,0.036,Staphylococcus,A,3,6
C1,C,1,14,m9,TR087-7.2,7,1,0.212,0.59,0.02,Myroides,A,3,6
E1,E,1,14,m9,BR1.11,7,1,0.211,0.34,0.032,Enterobacter,A,3,6
G1,G,1,14,m9,blank,7,1,0.21,0.6,0.029,blank,A,3,6
A3,A,3,14,m9,BR1.7,7,1,0.206,0.6,0.038,Staphylococcus,B,3,6
C3,C,3,14,m9,TR087-7.2,7,1,0.214,0.61,0.013,Myroides,B,3,6
E3,E,3,14,m9,BR1.11,7,1,0.216,0.47,0.024,Enterobacter,B,3,6
G3,G,3,14,m9,blank,7,1,0.203,0.62,0.033,blank,B,3,6
A5,A,5,14,m9,BR1.7,7,1,0.211,0.59,0.033,Staphylococcus,C,3,6
C5,C,5,14,m9,TR087-7.2,7,1,0.208,0.53,0.04,Myroides,C,3,6
E5,E,5,14,m9,BR1.11,7,1,0.206,0.6,0.025,Enterobacter,C,3,6
G5,G,5,14,m9,blank,7,1,0.209,0.63,0.028,blank,C,3,6
A7,A,7,14,m9,BR1.7,7,0,0.225,NA,NA,NA,A,3,5
C7,C,7,14,m9,TR087-7.2,7,0,0.209,NA,NA,NA,A,3,5
E7,E,7,14,m9,BR1.11,7,0,0.227,NA,NA,NA,A,3,5
G7,G,7,14,m9,blank,7,0,0.198,NA,NA,NA,A,3,5
A9,A,9,14,m9,BR1.7,7,0,0.242,NA,NA,NA,B,3,5
C9,C,9,14,m9,TR087-7.2,7,0,0.219,NA,NA,NA,B,3,5
E9,E,9,14,m9,BR1.11,7,0,0.209,NA,NA,NA,B,3,5
G9,G,9,14,m9,blank,7,0,0.206,NA,NA,NA,B,3,5
A11,A,11,14,m9,BR1.7,7,0,0.236,NA,NA,NA,C,3,5
C11,C,11,14,m9,TR087-7.2,7,0,0.197,NA,NA,NA,C,3,5
E11,E,11,14,m9,BR1.11,7,0,0.222,NA,NA,NA,C,3,5
G11,G,11,14,m9,blank,7,0,0.199,NA,NA,NA,C,3,5
